"cid","name","star","rating","rating_title","number_of_ratings","price","url","lat","lon"
21,"Hôtel Birdy by Happyculture","4 étoiles","7.9","Bien","1 145 expériences vécues","€ 75","https://www.booking.com/hotel/fr/royal-mirabeau.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.48142972","5.36561430"
21,"Golden Tulip Aix en Provence","4 étoiles","8.2","Très bien","1 743 expériences vécues","€ 92,50","https://www.booking.com/hotel/fr/golden-tulip-aix-en-provence.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.52879731","5.42567968"
21,"Odalys City Aix en Provence Les Floridianes","3 étoiles","8.1","Très bien","1 549 expériences vécues","€ 81,50","https://www.booking.com/hotel/fr/les-floridianes.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.52133318","5.44477701"
21,"Aquabella Hôtel & Spa","4 étoiles","8.4","Très bien","1 563 expériences vécues","€ 139,10","https://www.booking.com/hotel/fr/hotel-aquabella.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.53126360","5.44507004"
21,"Hôtel des Augustins","3 étoiles","8.2","Très bien","1 418 expériences vécues","€ 112,30","https://www.booking.com/hotel/fr/les-augustins.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.52688664","5.44727147"
21,"Renaissance Aix-en-Provence Hotel","5 étoiles","8.2","Très bien","1 210 expériences vécues","€ 176,60","https://www.booking.com/hotel/fr/renaissance-aix-en-provence.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.52624048","5.43820493"
21,"Hôtel Rotonde","3 étoiles","8.2","Très bien","1 229 expériences vécues","€ 107,30","https://www.booking.com/hotel/fr/rotonde.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.52391014","5.44249445"
21,"ibis Aix en Provence","3 étoiles","7.9","Bien","1 570 expériences vécues","€ 61,65","https://www.booking.com/hotel/fr/hatel-ibis-aix-en-provence.fr.html?sid=8cdef070beab3c17119758235e8630d8","43.51138683","5.46482384"
22,"Hôtel Le Bristol","4 étoiles","8.1","Très bien","2 605 expériences vécues","€ 79,96","https://www.booking.com/hotel/fr/hotel-bristol-avignon.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.94403213","4.80533168"
22,"ibis budget Avignon Centre","2 étoiles","7.8","Bien","3 183 expériences vécues","€ 41,99","https://www.booking.com/hotel/fr/ibis-budget-avignon-centre.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.94375631","4.79815236"
22,"Hôtel Danieli","3 étoiles","7.5","Bien","1 999 expériences vécues","€ 68","https://www.booking.com/hotel/fr/hoteldanieli.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.94756619","4.80603039"
22,"Best Western Hôtel Le Paradou Avignon Sud.","3 étoiles","7.9","Bien","2 629 expériences vécues","€ 54,75","https://www.booking.com/hotel/fr/paradouavignon.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.90489250","4.89553034"
22,"ibis Styles Avignon Sud","3 étoiles","8.3","Très bien","1 736 expériences vécues","€ 88,65","https://www.booking.com/hotel/fr/avignon.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.92616548","4.84442085"
22,"hotelF1 Avignon Centre Courtine gare TGV","","6.7","Note","1 283 expériences vécues","€ 30,33","https://www.booking.com/hotel/fr/hotelf1-avignon-centre-courtine-gare-tgv.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.92903200","4.78818900"
22,"Hôtel Cloitre Saint Louis Avignon","4 étoiles","7.8","Bien","1 921 expériences vécues","€ 109,96","https://www.booking.com/hotel/fr/clarioncloitrestlouis.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.94380810","4.80494678"
22,"Kyriad Avignon - Palais des Papes","3 étoiles","8.2","Très bien","2 524 expériences vécues","€ 60,65","https://www.booking.com/hotel/fr/kyriad-avignon-palais-des-papes-xml.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.94963777","4.80635896"
22,"Campanile Avignon Sud - Montfavet la Cristole","3 étoiles","7.2","Bien","1 057 expériences vécues","€ 56,65","https://www.booking.com/hotel/fr/campanile-avignon-sud-montfavet.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.92592594","4.85080719"
22,"Premiere Classe Avignon Courtine Gare TGV","1 étoiles","6.1","Note","1 298 expériences vécues","€ 31,83","https://www.booking.com/hotel/fr/premiere-classe-avignon-courtine.fr.html?sid=5a11cf306a15da58eb8d4f8aa6ec6735","43.93020671","4.79032874"
23,"Logis Uzès Pont du Gard","3 étoiles","7.9","Bien","1 330 expériences vécues","€ 74","https://www.booking.com/hotel/fr/uzes.fr.html?sid=edb84757044395d146a5484118f8fd39","44.00284485","4.41645205"
23,"Boutique Hôtel Entraigues","4 étoiles","8.9","Superbe","945 expériences vécues","€ 125,81","https://www.booking.com/hotel/fr/entraigues-uzes2.fr.html?sid=edb84757044395d146a5484118f8fd39","44.01246437","4.42180011"
23,"Hostellerie Provençale","3 étoiles","8.7","Superbe","207 expériences vécues","€ 101","https://www.booking.com/hotel/fr/hostellerie-provencale.fr.html?sid=edb84757044395d146a5484118f8fd39","44.00924515","4.41617399"
23,"La Taverne","2 étoiles","8.8","Superbe","427 expériences vécues","€ 76,90","https://www.booking.com/hotel/fr/la-taverne.fr.html?sid=edb84757044395d146a5484118f8fd39","44.01465900","4.42005150"
23,"Hôtel Le Saint-Geniès","3 étoiles","8.9","Superbe","750 expériences vécues","","https://www.booking.com/hotel/fr/le-saint-genies.fr.html?sid=edb84757044395d146a5484118f8fd39","44.02305334","4.42047223"
23,"La Maison d'Uzès Relais & Châteaux","5 étoiles","8.6","Superbe","121 expériences vécues","€ 221,90","https://www.booking.com/hotel/fr/la-maison-d-uza-s.fr.html?sid=edb84757044395d146a5484118f8fd39","44.01274447","4.42113072"
23,"Patio De Violette","3 étoiles","8.6","Superbe","439 expériences vécues","","https://www.booking.com/hotel/fr/patio-de-violette.fr.html?sid=edb84757044395d146a5484118f8fd39","44.02843142","4.42002386"
23,"UZES APPART HOTEL Résidence Le Mas des Oliviers","","7.7","Bien","710 expériences vécues","€ 100,92","https://www.booking.com/hotel/fr/le-mas-des-oliviers-ulv.fr.html?sid=edb84757044395d146a5484118f8fd39","44.01263259","4.41414893"
23,"Le Mas du Lac","","8.5","Très bien","264 expériences vécues","€ 106,76","https://www.booking.com/hotel/fr/le-mas-du-lac.fr.html?sid=edb84757044395d146a5484118f8fd39","43.99228663","4.43396687"
23,"Le trente trois","","9.2","Fabuleux","368 expériences vécues","€ 84,40","https://www.booking.com/hotel/fr/le-trente-trois.fr.html?sid=edb84757044395d146a5484118f8fd39","44.00964195","4.41788524"
24,"ibis budget Nimes Centre Gare","2 étoiles","8","Très bien","2 243 expériences vécues","€ 41,84","https://www.booking.com/hotel/fr/ibis-budget-nimes-centre-gare.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.83205590","4.36736450"
24,"Campanile Nîmes Centre Mas-Carbonnel","3 étoiles","7","Bien","1 923 expériences vécues","€ 50","https://www.booking.com/hotel/fr/campanile-nimes-centre-mas-carbonnel.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.82273112","4.36412573"
24,"HÔTEL B&B Ville Active, parking sécurisé gratuit","3 étoiles","7.5","Bien","1 877 expériences vécues","€ 63","https://www.booking.com/hotel/fr/b-amp-b-nimes-villes-active.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.81578340","4.34631270"
24,"Royal Hôtel","3 étoiles","8.1","Très bien","1 065 expériences vécues","€ 80","https://www.booking.com/hotel/fr/royal.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.83881510","4.35481846"
24,"Logis NIMOTEL Hôtel Cosy","3 étoiles","7.3","Bien","2 756 expériences vécues","€ 66","https://www.booking.com/hotel/fr/nimotel.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.81557635","4.34660353"
24,"HÔTEL C SUITES chambres spacieuses","4 étoiles","7.3","Bien","2 536 expériences vécues","€ 81,36","https://www.booking.com/hotel/fr/c-suites.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.81537700","4.34590500"
24,"Best Western Marquis de la Baume","4 étoiles","7.9","Bien","1 986 expériences vécues","€ 86,18","https://www.booking.com/hotel/fr/ha-tel-la-baume.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.83959476","4.36108410"
