day_time,temperature,precipitation_p,humidity,weather,cid
2022-01-20 11:00:00 (UTC),12.43,0.0,47,broken clouds,27
2022-01-21 11:00:00 (UTC),9.04,0.0,53,clear sky,27
2022-01-15 11:00:00 (UTC),8.5,0.0,48,clear sky,28
2022-01-16 12:00:00 (UTC),8.58,0.0,46,clear sky,28
2022-01-17 12:00:00 (UTC),9.19,0.0,56,scattered clouds,28
2022-01-18 12:00:00 (UTC),9.16,0.0,64,clear sky,28
2022-01-19 12:00:00 (UTC),10.99,0.0,69,scattered clouds,28
2022-01-20 12:00:00 (UTC),9.01,0.0,67,broken clouds,28
2022-01-21 12:00:00 (UTC),5.47,0.0,57,few clouds,28
2022-01-15 12:00:00 (UTC),4.65,0.0,44,clear sky,29
2022-01-16 12:00:00 (UTC),3.87,0.0,41,clear sky,29
2022-01-17 12:00:00 (UTC),4.41,0.0,43,broken clouds,29
2022-01-18 12:00:00 (UTC),5.75,0.0,49,clear sky,29
2022-01-19 12:00:00 (UTC),6.27,0.0,51,clear sky,29
2022-01-20 12:00:00 (UTC),3.9,0.0,59,overcast clouds,29
2022-01-21 12:00:00 (UTC),-0.18,0.0,70,broken clouds,29
2022-01-15 12:00:00 (UTC),7.57,0.0,46,clear sky,30
2022-01-16 12:00:00 (UTC),6.74,0.0,50,clear sky,30
2022-01-17 12:00:00 (UTC),7.19,0.0,59,scattered clouds,30
2022-01-18 12:00:00 (UTC),8.52,0.0,66,clear sky,30
2022-01-19 12:00:00 (UTC),10.34,0.0,65,clear sky,30
2022-01-20 12:00:00 (UTC),8.17,0.0,67,broken clouds,30
2022-01-21 12:00:00 (UTC),4.25,0.0,54,clear sky,30
2022-01-15 12:00:00 (UTC),6.86,0.0,53,clear sky,31
2022-01-16 12:00:00 (UTC),6.29,0.0,53,clear sky,31
2022-01-17 12:00:00 (UTC),7.36,0.0,64,scattered clouds,31
2022-01-18 12:00:00 (UTC),7.52,0.0,62,clear sky,31
2022-01-19 12:00:00 (UTC),10.11,0.0,71,clear sky,31
2022-01-20 12:00:00 (UTC),8.01,0.0,70,scattered clouds,31
2022-01-21 12:00:00 (UTC),4.75,0.0,50,clear sky,31
2022-01-15 12:00:00 (UTC),8.75,0.0,49,clear sky,32
2022-01-16 12:00:00 (UTC),8.86,0.0,52,clear sky,32
2022-01-17 12:00:00 (UTC),7.86,0.0,59,overcast clouds,32
2022-01-18 12:00:00 (UTC),9.35,0.0,60,clear sky,32
2022-01-19 12:00:00 (UTC),10.63,0.0,47,clear sky,32
2022-01-20 12:00:00 (UTC),9.63,0.0,73,overcast clouds,32
2022-01-21 12:00:00 (UTC),6.11,0.01,60,scattered clouds,32
2022-01-15 12:00:00 (UTC),9.0,0.0,50,clear sky,33
2022-01-16 12:00:00 (UTC),9.2,0.0,53,clear sky,33
2022-01-17 12:00:00 (UTC),8.16,0.0,59,overcast clouds,33
2022-01-18 12:00:00 (UTC),9.75,0.0,60,clear sky,33
2022-01-19 12:00:00 (UTC),11.1,0.0,48,clear sky,33
2022-01-20 12:00:00 (UTC),9.89,0.0,72,overcast clouds,33
2022-01-21 12:00:00 (UTC),6.5,0.0,58,few clouds,33
2022-01-15 12:00:00 (UTC),7.3,0.0,56,clear sky,34
2022-01-16 12:00:00 (UTC),6.99,0.0,71,clear sky,34
2022-01-17 12:00:00 (UTC),8.8,0.0,74,clear sky,34
2022-01-18 12:00:00 (UTC),7.64,0.0,69,few clouds,34
2022-01-19 12:00:00 (UTC),6.85,0.0,77,clear sky,34
2022-01-20 12:00:00 (UTC),7.8,0.0,80,clear sky,34
2022-01-21 12:00:00 (UTC),5.18,0.0,64,clear sky,34
